cluster,Proportion,Average_Score,Average_Price_per_Bed,Average_Rating,Average_Accuracy,Average_Cleanliness,Average_Checkin,Average_Communication,Average_Location,Average_Value,Average_booking,bed.revenue
7,0.08283730158730158,-0.38263614487433756,79.98071357285428,90.80239520958084,9.377245508982035,9.10179640718563,9.58682634730539,9.562874251497005,8.95808383233533,9.083832335329342,181.59281437125748,14523.922873116042
4,0.04017857142857143,0.008097274166774244,60.45931804820694,93.88888888888889,9.641975308641975,9.419753086419753,9.88888888888889,9.864197530864198,9.037037037037036,9.481481481481481,117.01234567901236,7074.486622974141
12,0.15674603174603174,0.48646875651356913,120.557823488045,94.20569620253164,9.591772151898734,9.509493670886076,9.724683544303797,9.775316455696203,9.825949367088608,9.35126582278481,191.3227848101266,23065.45852038046
8,0.0625,-0.757854181825821,77.26759259259259,90,9.285714285714286,9.166666666666666,9.595238095238095,9.603174603174603,9.047619047619047,9.047619047619047,149.28571428571428,11534.94775132275
5,0.0763888888888889,-1.5647882180776327,123.6693722943723,84.37012987012987,8.805194805194805,8.62987012987013,9.142857142857142,9.14935064935065,9.519480519480519,8.519480519480519,125.73376623376623,15549.415946337213
2,0.09970238095238096,0.38467255517517956,238.89966832504146,94.04975124378109,9.601990049751244,9.567164179104477,9.74129353233831,9.73134328358209,9.835820895522389,9.26865671641791,154.6865671641791,36954.56958986164
11,0.09077380952380952,0.037490396323483145,78.90619307832422,92.22950819672131,9.502732240437158,9.300546448087431,9.726775956284152,9.743169398907105,9.224043715846994,9.256830601092895,172.54098360655738,13614.552166382991
1,0.04811507936507937,-0.5638250512083787,64.44037800687285,89.3917525773196,9.391752577319588,9.041237113402062,9.639175257731958,9.608247422680412,8.814432989690722,9.051546391752577,139.4020618556701,8983.121560916852
3,0.13194444444444445,0.5344064875578978,125.34993734335839,93.87218045112782,9.556390977443609,9.458646616541353,9.785714285714286,9.725563909774436,9.819548872180452,9.345864661654135,194.1203007518797,24332.96753632201
10,0.10069444444444445,0.3860552142871738,85.1830283837673,95.27093596059113,9.74384236453202,9.586206896551724,9.89655172413793,9.866995073891626,9.561576354679802,9.517241379310345,161.0985221674877,13722.859986376068
9,0.039186507936507936,-0.4186152981393652,64.12047920433996,90.10126582278481,9.329113924050633,9.189873417721518,9.582278481012658,9.5949367088607591,8.39240506329114,9.151898734177216,103.48101265822783,6635.252120195937
6,0.056051587301587304,0.32951848577946713,114.11193636746734,94.76106194690266,9.716814159292035,9.654867256637168,9.902654867256636,9.902654867256636,9.380530973451327,9.47787610619469,160.61061946902655,18327.588788789068
13,0.01488095238095238,0.02162899924589261,56.92,94.53333333333333,9.633333333333333,9.6,9.866666666666667,9.833333333333334,9.266666666666667,9.433333333333334,166,9448.720000000001
0,1,0.004383352299659167,111.18226401092845,92.40873015873017,9.488095238095237,9.345734126984127,9.696924603174603,9.690972222222221,9.431051587301587,9.237103174603174,163.82291666666666,22367.323592115223
